Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service
Catherine Taylor Park,"18100 Douglass Street, High Springs","18100 Douglass St, High Springs, FL, 32643, USA",-82.59113,29.82109,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
Faith Mission Baptist Church,"2905 SE 21st Avenue, Gainesville","2905 SE 21st Ave, Gainesville, FL, 32641, USA",-82.28651,29.63214,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
Hathcock Community Center,"15818 NW 140th Street, Alachua","15818 NW 140th St, Alachua, FL, 32615, USA",-82.49468,29.80047,G&G (10:30-11:00),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
Hawthorne Stop 1 - 215th Street,"Field across from 5933 215th Street, Hawthorne","5933 SE 215th St, Hawthorne, FL, 32640, USA",-82.09278,29.59905,G&G (9:00-9:25),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH)
Hawthorne Stop 2 - SE Hawthorne Rd,"22820 SE Hawthorne Rd, Hawthorne","22820 SE Hawthorne Rd, Hawthorne, FL, 32640, USA",-82.07894,29.59661,G&G (9:45-10:05),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH)
Hawthorne Stop 3 - New Generation Church,22500 SE 71st Avenue Hawthorne,"22500 SE 71st Ave, Hawthorne, FL, 32640, USA",-82.08324,29.58897,G&G (10:20-10:40),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH)
Hawthorne Stop 4 - Island Grove,"SE 219th Ave & 201th Terrace, Hawthorne","SE 219th Ave & SE 201st Ter, Hawthorne, FL, 32640, USA",-82.10735,29.45347,G&G (10:55-11:15),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH)
Newberry Stop 1 - MLK Community Center,"25515 NW 6th Avenue, Newberry","25515 NW 6th Ave, Newberry, FL, 32669, USA",-82.61381,29.65169,G&G (10:30-11:00),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
Newberry Stop 2 - Brookside,"100 NW 146th Drive, Newberry","100 NW 146th Dr, Newberry, FL, 32669, USA",-82.49975,29.65443,G&G (11:20-11:50),06/9/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-60/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
Waldo City Square,"14450 NE 148th Avenue, Waldo","14450 NE 148th Ave, Waldo, FL, 32694, USA",-82.16907,29.79174,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
